iter	Passed	Remaining
0	116	116781
1	119	59758
2	124	41294
3	130	32464
4	133	26535
5	136	22601
6	167	23778
7	171	21259
8	178	19662
9	189	18761
10	195	17621
11	216	17858
12	220	16744
13	231	16298
14	235	15485
15	242	14931
16	247	14304
17	251	13711
18	254	13121
19	260	12758
20	272	12700
21	276	12271
22	279	11853
23	294	11977
24	297	11612
25	308	11544
26	311	11219
27	321	11158
28	325	10912
29	329	10644
30	339	10625
31	342	10367
32	349	10244
33	355	10113
34	359	9905
35	366	9813
36	369	9627
37	382	9693
38	386	9523
39	400	9602
40	425	9951
41	433	9877
42	435	9701
43	441	9593
44	445	9456
45	449	9313
46	452	9167
47	462	9175
48	465	9034
49	468	8899
50	475	8839
51	478	8727
52	481	8604
53	484	8486
54	490	8423
55	492	8306
56	495	8203
57	498	8099
58	503	8029
59	507	7946
60	509	7847
61	512	7758
62	515	7674
63	521	7628
64	525	7556
65	528	7480
66	536	7475
67	540	7401
68	544	7353
69	551	7327
70	555	7267
71	558	7199
72	566	7188
73	568	7113
74	571	7051
75	575	6992
76	580	6957
77	583	6893
78	586	6838
79	588	6773
80	591	6706
81	595	6672
82	597	6599
83	599	6540
84	602	6487
85	604	6428
86	607	6371
87	613	6356
88	619	6343
89	625	6323
90	628	6278
91	633	6251
92	635	6199
93	641	6185
94	648	6174
95	651	6130
96	656	6114
97	659	6067
98	663	6039
99	665	5990
100	669	5955
101	672	5920
102	675	5884
103	678	5841
104	680	5803
105	687	5796
106	690	5760
107	692	5719
108	694	5680
109	700	5670
110	704	5643
111	707	5606
112	709	5568
113	714	5555
114	717	5522
115	720	5491
116	722	5452
117	724	5418
118	731	5411
119	734	5383
120	736	5349
121	737	5310
122	740	5279
123	745	5265
124	748	5236
125	750	5208
126	752	5172
127	755	5143
128	759	5125
129	761	5099
130	764	5071
131	766	5041
132	768	5011
133	770	4979
134	776	4972
135	778	4948
136	781	4920
137	783	4892
138	791	4905
139	800	4919
140	811	4942
141	813	4912
142	815	4885
143	817	4861
144	823	4853
145	826	4837
146	829	4811
147	831	4784
148	833	4761
149	838	4749
150	841	4730
151	843	4705
152	845	4680
153	852	4684
154	857	4674
155	860	4654
156	863	4634
157	869	4636
158	875	4630
159	878	4611
160	883	4604
161	888	4596
162	891	4578
163	898	4578
164	906	4586
165	908	4564
166	914	4562
167	921	4564
168	925	4549
169	932	4551
170	934	4530
171	937	4512
172	944	4515
173	948	4501
174	950	4479
175	952	4461
176	958	4457
177	961	4441
